,zipcode,% Foreign,% Uninsured,% Vehicle Access,% Food Stamps,% Teen Birth Rate,Urban
104,10537,6.424399740428294,5.4510058403634005,0.0,37.37832576249189,30.3,1
105,10538,6.543844957530805,1.010886469673406,1.1446012972148036,35.57243689436535,0.0,1
106,10541,3.860301088316712,5.6198096393765855,1.6289262235208182,32.778430852072354,4.1,1
107,10543,14.547304170905392,8.317589497650534,8.772449180974935,36.801821440682076,5.7,1
108,10546,14.584787159804607,0.0,2.595419847328244,32.93789253314724,0.0,1
109,10547,8.09542956708216,3.457981503819864,3.200624512099921,34.633427154536925,4.2,1
110,10548,2.972336668628605,4.120070629782225,2.071005917159764,38.11065332548558,12.2,1
111,10549,19.037265205049227,14.030319502325304,9.606829385595768,35.23585190553845,6.9,1
112,10550,17.197908649380288,12.78696356060405,21.43287539166064,35.054008864354145,27.2,1
113,10552,12.135575942915391,9.046890927624872,10.041799363057324,41.42201834862385,4.0,1
114,10553,12.511785781633039,11.653780878747881,12.83991003884686,30.944748255704322,17.9,1
115,10560,4.198782961460446,7.099391480730223,0.9783071033602722,35.172413793103445,0.0,1
116,10562,21.294692077492517,16.730193731296268,12.3498594428827,31.64592849267601,17.3,1
117,10566,19.960795762605837,13.842432330983861,8.524480774042873,38.28669141260374,34.5,1
118,10567,4.861514623281038,4.294983536703468,0.9364820846905538,33.527019174898314,3.3,1
119,10570,4.187875983341047,3.8948017892950793,1.495581237253569,31.729137744871203,1.1,1
120,10573,26.56963909851635,20.49129832126905,12.743025114743952,32.18081010318805,17.4,1
121,10576,3.567035670356703,2.173021730217302,0.4608294930875576,38.376383763837644,0.0,1
122,10577,9.357713583282116,5.055316533497233,5.6705670567056705,12.79963122311002,0.0,1
123,10578,14.116251482799525,10.083036773428233,0.0,36.536180308422296,0.0,1
124,10579,2.5005297732570457,3.517694426785336,1.892066222317781,33.64060182242,2.2,1
125,10580,7.290098436595253,2.3335263462652,2.051963389430174,33.566878980891715,0.0,1
126,10583,9.132670894292703,2.0022968991860988,2.784906896740021,34.206321466020874,0.2,1
127,10588,2.7292576419213974,4.912663755458515,0.0,38.90101892285298,3.7,1
128,10589,2.4813089175425294,2.362119406219525,1.7618641659562375,41.05536894571459,0.0,1
129,10590,2.3497188986593627,4.209312382874442,0.18028846153846154,35.72149344096872,0.0,1
130,10591,15.555270582200565,9.11344789262204,9.694377617392849,37.74472086859878,11.0,1
131,10594,2.423167848699764,3.5066981875492518,1.5719467956469164,30.26004728132388,1.8,1
132,10595,9.0688357411679,4.467645987616852,3.7092882991556095,27.643559548379265,1.6,1
133,10597,0.0,0.0,0.0,33.62218370883882,0.0,0
134,10598,3.4962189290922034,2.370375394214792,1.3943950786056047,35.063922140459155,1.6,1
135,10601,19.619758659605868,11.112075701015714,20.34501155966566,45.09940098966925,25.3,1
136,10603,12.301336852372485,8.1760284583166,5.895552835577315,38.74576854667507,14.8,1
137,10604,15.117008876535461,9.226217161301893,3.0048291897692723,34.492961535013,4.3,1
138,10605,11.923297080709787,8.368631940469376,6.142098273572378,37.870635374928455,3.9,1
139,10606,28.817169069462643,20.9043250327654,13.100483610961847,31.25273044997816,23.4,1
140,10607,12.180429033205993,10.020570085218925,1.2045037968054464,32.50073464590068,7.0,1
141,10701,15.75771995717272,12.776805288829218,23.337561893849486,36.562940806580436,34.8,1
142,10703,13.237321165454633,10.737202338514187,12.153344208809134,33.48543181710157,23.9,1
143,10704,10.929182879377432,8.709727626459143,8.886581567214316,38.032684824902724,14.3,1
144,10705,19.86197815060476,16.572376121732347,25.88704474810861,33.166699180647676,30.5,1
145,10706,5.503646308113035,3.0765724703737467,2.8828828828828827,37.716499544211494,2.1,1
146,10707,8.065931922364186,6.671218180044867,4.286589099816289,38.95445235540818,1.1,1
147,10708,6.433368681512902,4.546659597030753,5.89773387565369,40.756451042771296,0.7,1
148,10709,8.745874587458747,4.411441144114411,3.2265003226500326,39.14191419141914,0.0,1
